track_name,track_artist,track_popularity,playlist_genre,track_album_release_year,track_album_release_month,metrics,value
Old Town Road - Diplo Remix,Lil Nas X,74,pop,2019,4,danceability,0.766
Lovers + Strangers - GATTÜSO Remix,Starley,46,pop,2019,11,danceability,0.649
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,55,pop,2019,12,danceability,0.355
What Am I - SONDR Remix,Why Don't We,52,pop,2019,11,danceability,0.542
Cool Kids,Olympis,67,pop,2019,11,danceability,0.735
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63,pop,2019,8,danceability,0.752
All Star - Breathe Carolina Remix,Smash Mouth,60,pop,2019,8,danceability,0.748
Trampoline - Dave Audé Remix,SHAED,45,pop,2019,12,danceability,0.607
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,pop,2019,7,danceability,0.607
With You - Dexter Remix,Kaskade,51,pop,2019,9,danceability,0.679
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,58,pop,2019,11,danceability,0.714
Talk - Disclosure VIP,Khalid,60,pop,2019,3,danceability,0.775
Spicy - Majestic Remix,Herve Pagez,48,pop,2019,10,danceability,0.814
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56,pop,2019,10,danceability,0.784
Treehouse - R3HAB Remix,James Arthur,56,pop,2019,9,danceability,0.367
Call You Mine,The Chainsmokers,39,pop,2019,5,danceability,0.591
Post Malone (feat. RANI),Sam Feldt,83,pop,2019,5,danceability,0.59
Here With Me,Marshmello,83,pop,2019,3,danceability,0.791
Easier - Seeb Remix,5 Seconds of Summer,71,pop,2019,7,danceability,0.564
Sixteen,Ellie Goulding,81,pop,2019,4,danceability,0.669
Never Really Over,Katy Perry,85,pop,2019,5,danceability,0.77
All You Need To Know (feat. Calle Lehmann),Gryffin,76,pop,2019,3,danceability,0.513
I Miss Myself (with HRVY),NOTD,71,pop,2019,5,danceability,0.72
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,pop,2019,10,danceability,0.789
Takeaway (feat. Lennon Stella),The Chainsmokers,67,pop,2019,7,danceability,0.294
All the Time,Zara Larsson,74,pop,2019,6,danceability,0.665
What I Like About You (feat. Theresa Rex),Jonas Blue,81,pop,2019,3,danceability,0.46
With You,Kaskade,71,pop,2019,6,danceability,0.362
Body Back (feat. Maia Wright),Gryffin,75,pop,2019,10,danceability,0.686
Not Ok,Kygo,73,pop,2019,5,danceability,0.618
Better With You,3LAU,63,pop,2019,3,danceability,0.571
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,pop,2019,4,danceability,0.591
In Your Arms (with X Ambassadors),ILLENIUM,75,pop,2019,8,danceability,0.404
I'm Not Alright,Loud Luxury,55,pop,2019,7,danceability,0.876
SOS,Avicii,30,pop,2019,4,danceability,0.802
Harder,Jax Jones,62,pop,2019,7,danceability,0.906
Wanted,NOTD,70,pop,2019,9,danceability,0.693
Crash Into Me,Steve Aoki,37,pop,2019,7,danceability,0.672
Need Your Love (with Noah Kahan),Gryffin,70,pop,2019,10,danceability,0.581
Good Things Fall Apart (with Jon Bellion),ILLENIUM,74,pop,2019,5,danceability,0.643
Don't Call Me Up,Mabel,85,pop,2019,1,danceability,0.674
Nostalgic,A R I Z O N A,36,pop,2019,6,danceability,0.691
Let It Be Me,Steve Aoki,52,pop,2019,9,danceability,0.661
Lovers + Strangers,Starley,58,pop,2019,10,danceability,0.653
Sad Song (feat. TINI),Alesso,72,pop,2019,6,danceability,0.734
Save Me Tonight,ARTY,63,pop,2019,1,danceability,0.55
No Sleep (feat. Bonn),Martin Garrix,76,pop,2019,2,danceability,0.44
Endless Summer,Cashae,56,pop,2019,7,danceability,0.625
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,77,pop,2019,10,danceability,0.547
Think About You,Kygo,71,pop,2019,2,danceability,0.673
Party For One,Carly Rae Jepsen,64,pop,2019,5,danceability,0.699
Ritual,Tiësto,82,pop,2019,5,danceability,0.647
Now That I Found You,Carly Rae Jepsen,5,pop,2019,2,danceability,0.611
All Comes Back To You,R3HAB,72,pop,2019,10,danceability,0.726
Need U,DVBBS,24,pop,2019,8,danceability,0.714
Something Real,Armin van Buuren,65,pop,2019,7,danceability,0.575
TIME,Alesso,64,pop,2019,3,danceability,0.768
Something About You (with Rudimental),Elderbrook,53,pop,2019,8,danceability,0.767
Home (feat. Bonn),Martin Garrix,72,pop,2019,8,danceability,0.466
Simple (STVW Remix),FANNYPACK,39,pop,2019,4,danceability,0.434
Sorry,Joel Corry,75,pop,2019,4,danceability,0.744
Spicy (with Diplo & Charli XCX),Herve Pagez,60,pop,2019,5,danceability,0.837
The Upside (feat. Elle King),Lindsey Stirling,18,pop,2019,8,danceability,0.514
Million Voices,Armin van Buuren,60,pop,2019,10,danceability,0.466
RITMO (Bad Boys For Life),The Black Eyed Peas,96,pop,2019,10,danceability,0.721
Turn Me On (feat. Vula),Riton,86,pop,2019,9,danceability,0.737
Wish You Well (with Sigala),Sigala,5,pop,2019,9,danceability,0.67
With You - LöKii Remix,Kaskade,57,pop,2019,9,danceability,0.708
Dive,Hot Shade,68,pop,2019,12,danceability,0.654
No Goodbye,Paul Kalkbrenner,65,pop,2019,7,danceability,0.945
Work,MOTi,58,pop,2019,1,danceability,0.704
Instagram,Dimitri Vegas & Like Mike,81,pop,2019,7,danceability,0.765
Butterfly,Molella,43,pop,2019,6,danceability,0.627
All The Love You Got,MOTi,57,pop,2019,12,danceability,0.762
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,58,pop,2019,7,danceability,0.577
Love Is Not Enough,GATTÜSO,58,pop,2019,12,danceability,0.632
Lose Control,MEDUZA,91,pop,2019,10,danceability,0.598
I Wanna Dance,Jonas Blue,67,pop,2019,7,danceability,0.825
After The Landslide - Club Remix,Matt Simons,42,pop,2019,9,danceability,0.63
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,70,pop,2019,8,danceability,0.795
Not in Control,Glaceo,53,pop,2019,12,danceability,0.904
BLUE,Tiësto,75,pop,2019,12,danceability,0.744
Don't Waste My Time,Kharfi,46,pop,2019,11,danceability,0.772
Beat Of My Heart,Lost Frequencies,67,pop,2019,10,danceability,0.706
Don't Start Now - Kungs Remix,Dua Lipa,65,pop,2019,12,danceability,0.664
Drunken Truth,Steve Void,56,pop,2019,12,danceability,0.781
Jacques,Jax Jones,42,pop,2019,8,danceability,0.789
Stay (Don't Go Away) [feat. Raye],David Guetta,74,pop,2019,5,danceability,0.669
Solid Gold,PNAU,65,pop,2019,5,danceability,0.567
One Life,Mike Perry,64,pop,2019,9,danceability,0.653
All ‘Bout The Money,FAULHABER,51,pop,2019,10,danceability,0.721
Used To Love (with Dean Lewis),Martin Garrix,83,pop,2019,10,danceability,0.651
Giulia,Prince Paris,55,pop,2019,11,danceability,0.682
What Do I Do? - Benny Benassi Remix,Georgia Ku,39,pop,2019,10,danceability,0.66
Dreams Of You (feat. Rae Morris),Icarus,48,pop,2019,10,danceability,0.57
I Will Let You Down (feat. KLARA),Madison Mars,59,pop,2019,12,danceability,0.608
Carillon (with Achille Lauro),Nahaze,64,pop,2019,12,danceability,0.561
La Vie - Gabry Ponte Mix,DJ Ross,42,pop,2019,11,danceability,0.591
Say It,Phantoms,57,pop,2019,7,danceability,0.745
All This Time,Deorro,21,pop,2019,7,danceability,0.66
Acordeão,Tiësto,63,pop,2019,8,danceability,0.552
My Friend,Yves V,54,pop,2019,5,danceability,0.471
On & On,Alok,79,pop,2019,11,danceability,0.747
Juliet & Romeo,Martin Solveig,72,pop,2019,12,danceability,0.712
All Around The World (La La La),R3HAB,80,pop,2019,4,danceability,0.733
Are You Lonely (feat. ISÁK),Steve Aoki,47,pop,2019,2,danceability,0.517
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,19,pop,2019,3,danceability,0.675
Close Your Eyes,Felix Jaehn,79,pop,2019,11,danceability,0.818
Buzzing (with Nevve),Audien,59,pop,2019,11,danceability,0.639
Never Be Alone (feat. Aloe Blacc),David Guetta,68,pop,2019,7,danceability,0.535
Roses - Imanbek Remix,SAINt JHN,72,pop,2019,9,danceability,0.784
Insane,Ofenbach,66,pop,2019,11,danceability,0.809
Only Want You - Sam Feldt Remix,Rita Ora,64,pop,2019,4,danceability,0.578
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,9,pop,2019,2,danceability,0.733
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,41,pop,2019,5,danceability,0.63
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,69,pop,2019,9,danceability,0.845
Not Ok - Frank Walker Remix,Kygo,66,pop,2019,7,danceability,0.679
Heaven (feat. Veronica),Dzeko,68,pop,2019,1,danceability,0.657
Sixteen - Don Diablo Remix,Ellie Goulding,66,pop,2019,5,danceability,0.493
Don’t Give Up On Me Now (with Julie Bergan),R3HAB,63,pop,2019,5,danceability,0.687
Brave,Don Diablo,68,pop,2019,4,danceability,0.654
Carry On - Nicky Romero Remix,Kygo,67,pop,2019,5,danceability,0.447
Magnets (feat. Sophie Simmons),Sam Feldt,62,pop,2019,5,danceability,0.731
Don't Give Up On Me,Andy Grammer,9,pop,2019,4,danceability,0.489
Found Love (feat. Lovespeake),MOTi,59,pop,2019,2,danceability,0.6
These Are The Times (feat. JRM),Martin Garrix,71,pop,2019,7,danceability,0.687
Roots,Valerie Broussard,69,pop,2019,8,danceability,0.683
Talk - Alle Farben Remix,Khalid,56,pop,2019,4,danceability,0.638
All The Lies - Toby Romeo Remix / Radio Edit,Alok,56,pop,2019,7,danceability,0.707
High Hopes - Don Diablo Remix,Panic! At The Disco,60,pop,2019,1,danceability,0.59
Summer Air (feat. Trevor Guthrie),Hardwell,40,pop,2019,5,danceability,0.632
Can We Pretend (feat. Cash Cash) - Sigala Remix,P!nk,57,pop,2019,6,danceability,0.703
Bruises - Steve Void Remix,Lewis Capaldi,70,pop,2019,9,danceability,0.79
Insomnia - King Arthur Remix,Daya,63,pop,2019,5,danceability,0.733
Don't Worry Bout Me - Rudimental Remix,Zara Larsson,65,pop,2019,4,danceability,0.728
I Miss Myself - R3HAB Remix,NOTD,56,pop,2019,6,danceability,0.502
Leave,Borgeous,56,pop,2019,1,danceability,0.762
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,Clean Bandit,65,pop,2019,3,danceability,0.684
I'm Not Sorry,Hardwell,34,pop,2019,3,danceability,0.65
Tequila - Robin Schulz Remix,Dan + Shay,54,pop,2019,3,danceability,0.448
Sing It With Me - Embody Remix,JP Cooper,50,pop,2019,6,danceability,0.674
Better When You're Gone,David Guetta,76,pop,2019,2,danceability,0.647
Wish You Well,Sigala,75,pop,2019,5,danceability,0.669
Only When It Rains,Frank Walker,52,pop,2019,3,danceability,0.792
Mad Love - Blinkie Remix,Mabel,62,pop,2019,7,danceability,0.706
Better Day (feat. Aloe Blacc),Young Bombs,62,pop,2019,11,danceability,0.662
Rescue Me (with BUNT.) - BUNT. Remix,OneRepublic,10,pop,2019,8,danceability,0.673
Discovery,Syn Cole,55,pop,2019,5,danceability,0.516
With You - Frank Walker Remix,Tyler Shaw,49,pop,2019,2,danceability,0.686
Love You Forever,Nicky Romero,61,pop,2019,6,danceability,0.382
Thorns,Faustix,60,pop,2019,3,danceability,0.708
Need You,Faustix,62,pop,2019,7,danceability,0.639
Sweet Dreams (Are Made of This),Winati,67,pop,2019,6,danceability,0.815
Million Lights,Tungevaag & Raaban,61,pop,2019,3,danceability,0.696
Heaven,Avicii,80,pop,2019,6,danceability,0.592
eoh,Olympis,60,pop,2019,8,danceability,0.707
Nobody,Martin Jensen,66,pop,2019,3,danceability,0.673
All Day And Night,Jax Jones,75,pop,2019,7,danceability,0.567
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,72,pop,2019,3,danceability,0.676
"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",Lauv,58,pop,2019,8,danceability,0.763
No One - Jonas Blue Remix,Jess Glynne,51,pop,2019,3,danceability,0.605
Speechless (feat. Erika Sirola) - MOTi Remix,Robin Schulz,54,pop,2019,3,danceability,0.609
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,83,pop,2019,4,danceability,0.661
Who's Got Your Love,Cheat Codes,70,pop,2019,3,danceability,0.704
Never Go Back - Robin Schulz Remix,Dennis Lloyd,70,pop,2019,6,danceability,0.655
Think About You - Galantis Remix,Kygo,63,pop,2019,4,danceability,0.621
Giant (with Rag'n'Bone Man),Calvin Harris,83,pop,2019,1,danceability,0.807
Sad (feat. Afrojack),Chico Rose,75,pop,2019,8,danceability,0.717
Why Boy,Steff da Campo,55,pop,2019,6,danceability,0.497
Breathe (feat. Ina Wroldsen),Jax Jones,66,pop,2019,7,danceability,0.724
Rockstar,Ilkay Sencan,71,pop,2019,6,danceability,0.771
So Am I,Ava Max,83,pop,2019,3,danceability,0.682
Penny,Dimitri Vangelis & Wyman,50,pop,2019,3,danceability,0.468
bad guy,Billie Eilish,95,pop,2019,3,danceability,0.701
Halfway There (feat. Lena Leon),Tiësto,60,pop,2019,3,danceability,0.59
Spirit Of Freedom,Dropgun,45,pop,2019,1,danceability,0.438
Turning Up,ARASHI,67,pop,2019,11,danceability,0.769
Winter Hitori feat. ASOBOiSM,Shinn Yamada,28,pop,2019,12,danceability,0.787
One in a Million -奇跡の夜に-,GENERATIONS from EXILE TRIBE,60,pop,2019,11,danceability,0.746
Gimme GImme,iamSHUM,21,pop,2019,12,danceability,0.705
LOVE + PARTY,CREAM,37,pop,2019,12,danceability,0.789
taste,FlowBack,34,pop,2019,12,danceability,0.705
A-RA-SHI:Reborn,ARASHI,60,pop,2019,12,danceability,0.718
Light,SIRUP,53,pop,2019,11,danceability,0.775
Fly me 2,eill,41,pop,2019,11,danceability,0.742
Not Enough,Rei Yasuda,29,pop,2019,11,danceability,0.549
COLORLESS,Daichi Miura,54,pop,2019,12,danceability,0.425
MarudeSaturday Night,BABY-T,21,pop,2019,12,danceability,0.697
FUTARI x PARTY,CREAM,40,pop,2019,11,danceability,0.866
Be on the Stage,KEITA,26,pop,2019,12,danceability,0.684
space shuttle,空音,36,pop,2019,11,danceability,0.711
TO-KE-TE,HAN-KUN,34,pop,2019,12,danceability,0.392
You're the Reason - English ver.,INTERSECTION,36,pop,2019,12,danceability,0.625
Made In JPN,DEAN FUJIOKA,36,pop,2019,12,danceability,0.621
See You Later,Chocoholic,42,pop,2019,11,danceability,0.729
All Over You,Boys Get Hurt,12,pop,2019,12,danceability,0.705
Where Would You Go?,SkyLogic,16,pop,2019,12,danceability,0.62
Call My Name - Remix,YUTO,27,pop,2019,10,danceability,0.834
DAYZ,AAAMYYY,44,pop,2019,11,danceability,0.738
SUN DAY - Shinichi Osawa Remix,HIRAIDAI,41,pop,2019,11,danceability,0.74
SPOTLIGHT,eill,44,pop,2019,11,danceability,0.638
let me know,blanchehor,39,pop,2019,11,danceability,0.704
Y.E.S,KEITA,21,pop,2019,11,danceability,0.599
Rich&Famous - feat. Sean Paul,Kumi Koda,35,pop,2019,11,danceability,0.539
EASY LOVE,Gear 2nd,27,pop,2019,10,danceability,0.802
PARADE,Miliyah,37,pop,2019,10,danceability,0.679
Obsession,広瀬大地,30,pop,2019,10,danceability,0.827
Shine,DJ PIGER,35,pop,2019,10,danceability,0.779
Upside Down,RYPPHYPE,26,pop,2019,11,danceability,0.701
B.S.G.S.,sooogood!,30,pop,2019,11,danceability,0.625
Bitten By You,Monkey Majik,40,pop,2019,10,danceability,0.677
For Me,WAPLAN,31,pop,2019,10,danceability,0.706
Sway,AATA,27,pop,2019,12,danceability,0.792
Nobody,Beverly,31,pop,2019,12,danceability,0.561
Adios,EVERGLOW,74,pop,2019,8,danceability,0.633
Dumb,BVNDIT,59,pop,2019,11,danceability,0.652
THURSDAY,GOT7,63,pop,2019,11,danceability,0.678
Snapping,CHUNG HA,73,pop,2019,6,danceability,0.751
WONDERLAND,ATEEZ,72,pop,2019,10,danceability,0.572
Like always,X1,58,pop,2019,8,danceability,0.781
DRIP,HINAPIA,59,pop,2019,11,danceability,0.658
Jopping,SuperM,75,pop,2019,10,danceability,0.74
HIP,Mamamoo,81,pop,2019,11,danceability,0.782
Dumb Litty,KARD,65,pop,2019,9,danceability,0.76
MIDDLE OF THE NIGHT,Monsta X,69,pop,2019,12,danceability,0.737
Boy With Luv (feat. Halsey),BTS,85,pop,2019,4,danceability,0.645
Bon Bon Chocolat,EVERGLOW,72,pop,2019,3,danceability,0.719
gogobebe,Mamamoo,72,pop,2019,3,danceability,0.704
MIROH,Stray Kids,71,pop,2019,3,danceability,0.563
Forever Love,YOUNGJAE,48,pop,2019,10,danceability,0.652
Bomb Bomb,KARD,66,pop,2019,3,danceability,0.76
FLASH,X1,69,pop,2019,8,danceability,0.674
ME,CLC,64,pop,2019,5,danceability,0.752
HIT,SEVENTEEN,66,pop,2019,8,danceability,0.615
I’m So Hot,MOMOLAND,61,pop,2019,3,danceability,0.75
Me & You,EXID,61,pop,2019,5,danceability,0.709
No,CLC,61,pop,2019,1,danceability,0.76
WANT,TAEMIN,63,pop,2019,2,danceability,0.64
Fever,GFRIEND,67,pop,2019,7,danceability,0.764
Room Shaker,Ailee,57,pop,2019,7,danceability,0.697
LALALAY 날라리,SUNMI,70,pop,2019,8,danceability,0.7
8282(Party),twlv,40,pop,2019,8,danceability,0.832
D.D.D,THE BOYZ,55,pop,2019,8,danceability,0.695
Humph!,PENTAGON,63,pop,2019,7,danceability,0.791
Play It Cool,Monsta X,56,pop,2019,2,danceability,0.817
AH YEAH,WINNER,60,pop,2019,5,danceability,0.797
SHA LA LA,PENTAGON,56,pop,2019,3,danceability,0.675
SUNDAY,FANATICS,42,pop,2019,8,danceability,0.737
BEEP BEEP,RUANN,45,pop,2019,7,danceability,0.671
The Only (feat. IRENE of Red Velvet),Raiden,54,pop,2019,8,danceability,0.672
I Could Get Used To This,Becky Hill,64,pop,2019,3,danceability,0.621
Giant - Robin Schulz Remix,Calvin Harris,16,pop,2019,2,danceability,0.544
Walk Away,Alle Farben,61,pop,2019,3,danceability,0.735
Selfish,Dimitri Vegas & Like Mike,69,pop,2019,2,danceability,0.407
Recognise,Lost Frequencies,36,pop,2019,3,danceability,0.717
Don't Give Up On Me,Armin van Buuren,49,pop,2019,3,danceability,0.717
"Alone, Pt. II",Alan Walker,85,pop,2019,12,danceability,0.67
Family,The Chainsmokers,85,pop,2019,12,danceability,0.584
Push My Luck,The Chainsmokers,66,pop,2019,11,danceability,0.584
Here Comes The Sun,Campsite Dream,43,pop,2019,12,danceability,0.679
Sad,Aivarask,56,pop,2019,8,danceability,0.818
Safety (feat. DJ Snake),GASHI,63,pop,2019,8,danceability,0.755
Summer Lover (feat. Devin & Nile Rodgers),Oliver Heldens,61,pop,2019,4,danceability,0.689
We Got Love,Sigala,76,pop,2019,11,danceability,0.722
Mr Todd Terry,Riton,50,pop,2019,12,danceability,0.81
As Far as Feelings Go,Alle Farben,66,pop,2019,10,danceability,0.679
Summer Fade (feat. Anna of the North),Snakehips,64,pop,2019,8,danceability,0.618
Loving Myself (feat. Raphaella),Henri PFR,59,pop,2019,11,danceability,0.688
Haloes,Ina Wroldsen,64,pop,2019,9,danceability,0.704
Gotta Let Go,Hypanda,56,pop,2019,8,danceability,0.667
Narcotic,Younotus,77,pop,2019,4,danceability,0.749
Do You Mean (feat. Ty Dolla $ign & bülow),The Chainsmokers,17,pop,2019,4,danceability,0.6
"My One (feat. Tory Lanez, Kranium & Dappy) (Todd Edwards Remix)",Wiley,38,pop,2019,8,danceability,0.796
Be Someone,CamelPhat,66,pop,2019,6,danceability,0.672
Do You Miss Me Much - Wookie Remix,Craig David,30,pop,2019,9,danceability,0.786
Ghost,Au/Ra,72,pop,2019,10,danceability,0.667
Stand By (feat. Rudimental) [#CWC19],LORYN,58,pop,2019,5,danceability,0.661
Acid Dreams,MAX,65,pop,2019,7,danceability,0.817
Kills You Slowly,The Chainsmokers,12,pop,2019,3,danceability,0.696
Don't Worry Bout Me - Alle Farben Remix,Zara Larsson,48,pop,2019,5,danceability,0.629
Let Me Love You,Campsite Dream,41,pop,2019,6,danceability,0.714
Spicy - with Diplo & Charli XCX,Herve Pagez,59,pop,2019,5,danceability,0.822
Summer Lover (feat. Devin & Nile Rodgers) - Moguai Remix,Oliver Heldens,38,pop,2019,6,danceability,0.809
Mistaken (feat. Alex Aris),Martin Garrix,68,pop,2019,3,danceability,0.424
Instagram - Dimitri Vegas & Like Mike VS Trobi Remix,Dimitri Vegas & Like Mike,41,pop,2019,11,danceability,0.759
Do It Again,Steve Aoki,5,pop,2019,4,danceability,0.701
Can We Pretend (feat. Cash Cash),P!nk,75,pop,2019,4,danceability,0.524
On My Way,Alan Walker,83,pop,2019,3,danceability,0.509
Body 2 Body,MK,61,pop,2019,5,danceability,0.68
Late Night Feelings - Jax Jones Midnight Snack Remix,Mark Ronson,58,pop,2019,5,danceability,0.697
Shy Guy,Campsite Dream,48,pop,2019,4,danceability,0.605
Late Night Feelings (feat. Lykke Li),Mark Ronson,69,pop,2019,4,danceability,0.688
No New Friends - Dombresky Remix,Sia,55,pop,2019,5,danceability,0.852
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,79,pop,2019,2,danceability,0.541
"Heaven Can Wait (feat. Sia, Diplo, and Labrinth)",Sia,62,pop,2019,4,danceability,0.585
Dancing With A Stranger (with Normani),Sam Smith,87,pop,2019,1,danceability,0.741
Play,K-391,78,pop,2019,8,danceability,0.52
Say You'll Be There,Campsite Dream,40,pop,2019,1,danceability,0.683
Who Do You Love,The Chainsmokers,23,pop,2019,2,danceability,0.51
Love You Better,John De Sohn,67,pop,2019,11,danceability,0.733
The Rest Will Follow,Ludvigsson,51,pop,2019,11,danceability,0.753
So It Goes,Caj Morgan,41,pop,2019,12,danceability,0.63
Unbelievable,Andrew Roman,47,pop,2019,12,danceability,0.741
Photograph,Ljung,45,pop,2019,12,danceability,0.735
Faded,John De Sohn,54,pop,2019,11,danceability,0.561
Only You,Hogland,54,pop,2019,11,danceability,0.565
I Don't Know,Ericé,47,pop,2019,11,danceability,0.699
Too Close,Ria Mae,66,pop,2019,10,danceability,0.483
Hole in the Roof,AronChupa,61,pop,2019,11,danceability,0.767
Nobody Else,Wahlstedt,53,pop,2019,11,danceability,0.834
Dance Monkey,Skylike,63,pop,2019,9,danceability,0.781
Free,JRL,44,pop,2019,11,danceability,0.629
My Own Dance,Kesha,62,pop,2019,11,danceability,0.84
Bigger Than,Justin Jesso,70,pop,2019,11,danceability,0.421
I Got Eyes,John De Sohn,49,pop,2019,9,danceability,0.732
Bleed,Haze & Mellow,44,pop,2019,11,danceability,0.646
Hold on Tight,Sterkøl,50,pop,2019,11,danceability,0.61
Once and for All,Moe Aly,44,pop,2019,11,danceability,0.677
Fantasy,Laureano,34,pop,2019,11,danceability,0.773
We Are the Young,Addal,57,pop,2019,11,danceability,0.655
No Fear No More,Madeon,60,pop,2019,11,danceability,0.633
Baianá,Bakermat,76,pop,2019,11,danceability,0.497
Coming Home,TooManyLeftHands,49,pop,2019,11,danceability,0.694
